
ID_REF	IDENTIFIER	GSM25187	GSM25222	GSM25223	GSM25294	GSM25204	GSM25205	GSM25226	GSM25227	GSM25224	GSM25225	GSM25260	GSM25261	GSM25210	GSM25211	GSM25274	GSM25275	GSM25192	GSM25193	GSM25270	GSM25271	GSM25236	GSM25237	GSM25272	GSM25273	GSM25198	GSM25199	GSM25246	GSM25247	GSM25216	GSM25217	GSM25250	GSM25251	GSM25248	GSM25249	GSM25284	GSM25285	GSM25206	GSM25207	GSM25266	GSM25267	GSM25188	GSM25189	GSM25262	GSM25263	GSM25228	GSM25229	GSM25264	GSM25265	GSM25194	GSM25195	GSM25238	GSM25239	GSM25212	GSM25213	GSM25242	GSM25243	GSM25240	GSM25241	GSM25276	GSM25277	GSM25218	GSM25219	GSM25290	GSM25291	GSM25200	GSM25201	GSM25286	GSM25287	GSM25252	GSM25253	GSM25288	GSM25289	GSM25190	GSM25191	GSM25230	GSM25231	GSM25208	GSM25209	GSM25234	GSM25235	GSM25232	GSM25233	GSM25268	GSM25269	GSM25214	GSM25215	GSM25282	GSM25283	GSM25196	GSM25197	GSM25278	GSM25279	GSM25244	GSM25245	GSM25280	GSM25281	GSM25202	GSM25203	GSM25254	GSM25255	GSM25220	GSM25221	GSM25258	GSM25259	GSM25256	GSM25257	GSM25292	GSM25293
A1_1	A1_1	13.4558	13.5358	13.64	13.5531	13.5157	13.8912	13.5293	13.6385	13.9836	13.4574	13.6531	13.803	13.0648	12.4481	13.5465	12.8314	13.588	13.8167	14.9679	14.0173	13.8071	14.4282	14.2826	14.29	13.3356	13.6403	13.356	13.5336	13.7838	13.7973	14.0809	13.7662	13.6551	13.5066	13.8465	13.3303	13.1751	13.0107	13.3014	14.1608	13.7245	13.8211	13.8687	13.5116	13.5306	13.8923	13.4633	13.6924	13.4494	12.8877	13.8535	12.8936	13.0126	13.3626	13.5998	13.4369	13.3058	13.5361	13.4449	13.7279	13.6314	13.5351	13.6158	13.6654	13.8895	13.8546	13.7262	13.8885	14.0934	14.1091	13.9479	14.1741	13.4444	13.1532	13.5297	14.1005	13.5099	13.1119	14.6354	13.5624	14.4069	14.5862	14.7619	14.9365	13.5329	13.3416	13.5562	13.5321	13.5444	13.3078	13.8325	13.6224	13.5236	13.3413	13.6732	13.5656	13.7255	13.3901	13.9318	13.8889	13.6746	13.6133	14.0126	13.4831	14.1353	14.1576	13.9959	13.4766
A1_2	A1_2	13.4742	13.2988	13.4419	13.2621	13.1849	13.8126	13.4397	13.7698	13.7838	13.5435	13.3455	13.7681	12.8483	12.6993	13.5804	12.9486	13.0218	13.8631	14.1959	13.7291	13.5568	14.2068	13.8345	14.3225	13.1629	13.4091	13.1904	13.3993	13.4097	13.6327	13.6384	13.6972	13.5877	13.3	13.6683	13.4378	13.1068	13.0097	13.0657	13.4891	13.0949	13.9641	13.3873	13.8227	13.7203	13.7112	13.4479	13.3985	13.4283	12.8984	13.4299	12.7613	12.9373	13.1661	13.3599	13.3464	12.9144	13.3825	13.0934	13.4424	13.6888	13.3965	13.1296	13.3962	13.6458	13.8405	13.3982	13.4703	13.8863	13.6145	13.411	13.5518	13.6354	12.8803	13.567	13.4601	13.1457	12.9097	14.1573	13.4859	14.1026	14.1922	14.2382	14.2941	13.5797	13.304	13.399	13.572	13.1693	13.0346	13.4508	13.3194	13.4014	13.1739	13.4498	13.4606	13.5749	13.0707	13.3148	13.5526	13.3619	13.3385	13.8005	13.3174	13.8592	13.9367	13.5837	13.3499
A1_3	A1_3	13.5225	13.41	13.2775	13.3044	13.3681	13.9817	13.477	13.4415	13.1169	13.3745	13.5276	14.1453	13.3083	12.9297	13.4942	12.6977	13.4578	13.6259	14.5537	13.7038	13.767	13.4133	13.8099	14.2647	13.4561	13.5092	13.1433	13.2784	13.8496	13.8332	13.8728	14.1343	13.6706	13.675	13.9394	13.6144	13.3041	13.4606	12.954	13.9291	13.622	14.0161	13.9505	13.4204	13.3009	13.5468	13.3711	13.4784	13.4174	12.8874	13.2416	12.8854	13.1652	13.2984	13.7122	13.4544	13.117	13.691	13.0569	13.702	13.9112	13.6004	13.202	13.2169	13.6916	13.5225	13.6282	13.8924	14.4283	13.2446	13.9578	13.5141	13.508	13.3411	13.4647	14.0803	13.6866	13.3763	14.5513	13.6605	14.5466	14.4862	14.6045	14.4128	13.6692	13.6032	13.4397	13.7692	13.6725	13.3161	13.8074	13.7914	13.4666	13.2166	14.0834	13.2329	13.3938	13.2389	13.1386	13.644	13.5959	13.3312	14.1876	13.5229	13.8075	14.1925	13.5822	13.132
A1_4	A1_4	13.496	13.1635	13.091	13.2727	12.976	13.7644	13.5243	13.5838	13.147	13.5676	13.1168	13.6271	12.938	13.0961	13.2104	12.4351	12.9335	13.3468	14.0652	13.664	13.3169	13.5201	13.8245	13.7599	13.1923	13.2474	12.9993	13.2738	13.7285	13.333	13.6465	13.7734	13.2263	13.6555	13.7701	13.3779	13.1516	13.2389	13.0333	13.3362	13.3997	13.7359	13.8982	13.2333	13.4353	13.5034	13.1353	13.5963	13.3492	12.7737	13.2902	13.0207	13.1324	13.0237	13.4868	13.1037	12.9527	13.4916	12.5929	13.6473	13.467	13.3503	13.4213	13.4103	13.4398	13.5435	13.2367	13.0629	14.1337	13.4597	13.1177	13.5665	13.3829	12.9519	13.4609	13.7077	13.7106	12.83	14.0385	13.2244	14.2142	13.9422	13.9857	14.0278	13.2342	13.5883	13.4148	13.6559	12.8128	13.1889	13.4447	13.5814	13.2275	13.0756	13.5968	13.3378	13.5033	13.0644	13.1734	13.4179	13.4021	13.2471	13.3294	13.1866	13.8449	13.5724	13.488	13.1223
A1_5	A1_5	13.665	13.5478	13.4419	13.3888	13.6742	13.9979	14.176	13.9145	13.7838	13.9422	13.7328	14.36	13.2435	13.062	13.7235	13.2585	13.7076	14.0187	14.3076	14.0685	13.9955	14.5185	14.4935	14.4168	13.3585	13.697	13.4645	13.4751	14.2725	14.0931	14.0622	13.8442	14.0215	13.8373	14.1812	13.654	13.7631	13.1832	13.0036	13.9636	14.268	13.8355	14.2913	13.942	13.8622	14.4018	14.0712	13.5887	13.6159	13.5253	13.7561	13.2422	13.6206	13.4907	13.5457	13.8273	13.7173	13.6967	13.7197	13.242	13.955	13.3671	13.8492	13.7035	14.0848	14.187	13.891	14.0008	14.3621	14.569	14.168	14.5721	13.4034	13.2787	13.9456	13.6429	13.6917	13.6099	14.6322	13.7917	14.0872	14.7526	14.5188	14.4256	13.7114	13.9307	13.8801	13.8948	13.2097	13.4989	13.1514	13.4691	14.0539	13.3821	13.813	13.9204	13.8959	13.3398	13.9488	13.6613	13.8025	13.5267	14.1259	13.504	14.2664	14.2699	14.3408	13.5821
A1_6	A1_6	13.5707	13.2011	13.64	13.0444	13.235	14.0416	13.823	13.6756	13.9836	13.5431	13.7761	13.9767	12.7642	13.1655	13.5295	13.2313	13.0209	13.4608	13.9633	14.1083	13.7201	14.4886	14.2384	13.9469	13.3634	13.5613	13.2181	13.4402	13.5403	13.7376	13.6521	14.0071	13.667	13.3701	13.5954	13.4171	13.7235	13.3096	13.1294	13.5917	13.9221	13.5461	14.048	13.7995	13.489	13.7284	13.8422	13.4082	13.3123	12.9298	14.0953	13.0738	13.4832	13.2878	13.5584	13.7063	13.3572	13.6829	13.3459	13.4359	13.6285	13.3225	13.8586	13.7459	13.6619	13.6121	13.6088	13.4333	14.0996	13.7166	13.6346	14.1213	13.4503	12.8132	13.6071	13.6199	13.5201	13.1728	14.2898	13.6217	13.9964	14.3212	13.8875	14.0077	13.1897	13.4584	13.6085	13.3883	12.7356	13.2922	13.2688	13.3366	13.7322	13.1946	13.644	13.5085	13.7188	13.1475	13.514	13.344	13.5336	13.0846	13.9547	13.4314	13.7344	13.9455	14.0132	13.3142
A10_1	A10_1	14.3743	14.4328	14.5257	14.2355	10.6473	11.6753	11.7687	10.8545	12.9178	11.5637	13.0933	11.7332	11.5673	10.6568	11.1402	10.9429	11.0472	11.2762	12.0865	11.3204	11.2749	11.6239	11.2481	11.9321	11.3222	11.0858	10.9375	11.3397	10.9362	10.9109	11.338	10.9327	11.6229	11.4453	11.6646	11.0004	11.7119	11.3574	11.2128	12.3889	13.4042	11.208	11.7819	11.4956	11.0475	11.5551	11.527	11.302	11.1427	11.2411	11.1707	11.0235	10.4531	11.4804	11.1329	11.2113	10.8762	11.4685	11.0417	12.0079	10.66	10.7314	10.5304	10.5467	11.5757	11.1879	10.5468	11.3105	11.0889	11.0215	11.3312	11.0833	11.1477	11.4745	11.5707	12.0811	11.5192	11.6494	12.0499	11.1022	12.8894	12.6198	12.8244	12.7962	11.6481	11.3085	11.2183	11.8642	11.5224	11.5271	11.9389	11.6186	10.9186	11.1629	11.5908	11.3129	10.8496	10.682	10.6781	11.2209	10.6104	13.2157	10.6015	12.1491	11.4794	11.112	10.6561	12.9056
A10_2	A10_2	14.5256	14.87	14.4842	14.6287	11.4217	11.4709	11.7115	11.0123	12.7982	11.8202	13.6628	11.6955	11.1424	10.9305	11.0285	10.7147	10.8695	11.2399	12.3138	11.3101	11.3557	11.4331	11.4355	11.8461	11.2877	11.2761	10.9655	11.1819	11.0783	10.8449	10.9362	10.5239	11.3867	11.1996	11.7924	10.9921	11.6724	11.6047	11.2511	12.503	13.4562	11.0968	11.8252	11.4044	11.1263	11.512	11.3417	11.1787	11.1152	11.4933	10.9999	10.9369	10.9008	11.3508	11.2728	11.0182	10.9568	11.6015	10.9904	11.8115	10.7049	11.112	10.6007	10.7069	11.7213	11.1817	10.7843	11.1766	10.7374	10.8898	11.1928	11.3442	10.9788	11.6798	11.5381	12.2882	11.5197	11.1135	12.1536	11.3444	12.7633	12.8765	13.0558	13.0559	11.4854	11.6579	11.4784	11.9393	11.8263	11.2249	11.8241	11.2209	10.9338	11.2229	11.4595	11.4019	10.8785	11.4612	10.5399	10.9448	10.9275	13.6022	10.7165	12.4937	11.1914	11.177	10.7689	13.1908
A10_3	A10_3	14.2984	14.5339	13.8937	14.0356	11.4487	11.4677	11.7226	11.0295	12.3925	11.7431	13.5527	11.6009	11.1065	10.7269	10.9839	10.4966	10.9485	11.3221	11.9836	11.0786	11.1971	11.345	11.1537	11.4864	11.6265	11.0959	11.0065	11.1455	11.4318	10.7585	11.5219	10.5539	11.4474	11.5047	11.5896	11.2789	11.7643	12.0012	11.0307	12.333	13.0684	11.2391	12.0991	11.3482	11.1113	11.5595	11.2337	11.1759	11.192	11.3539	11.0515	10.71	10.5826	11.5502	11.4672	11.0143	10.5399	11.7819	10.4331	11.9279	10.7013	11.6749	10.8638	11.1231	11.4904	11.5462	11.1007	11.1249	11.0422	10.8301	11.2522	11.1148	11.3509	11.5959	11.575	12.5824	11.8281	11.1839	11.7865	11.372	13.1413	12.5409	12.7891	12.8327	11.8373	11.7193	11.4959	11.5653	11.589	11.7337	11.7874	11.3581	10.8821	11.1117	11.5861	11.4393	11.3433	11.217	10.5771	10.888	11.4354	13.3985	10.8848	12.4178	10.9589	11.1902	11.1149	12.9738
A10_4	A10_4	14.0403	14.7336	14.1342	14.3411	12.2596	11.7051	11.8102	10.9822	12.6218	11.6376	14.3933	11.3889	10.669	10.8918	11.0362	10.9959	10.9899	11.4769	12.2776	11.3692	11.511	11.6942	11.4536	11.9029	11.7138	11.0606	11.0642	11.2554	11.4832	10.778	11.5283	10.6662	11.5024	11.558	11.4545	11.0355	11.9587	11.9473	11.5904	12.1237	13.0749	11.5676	11.5295	11.2514	11.0738	11.6659	11.2188	11.3024	11.3755	11.2503	11.1503	10.9337	10.8322	11.6961	11.1318	11.0204	10.8791	11.4136	11.1927	11.9694	10.7086	11.5977	10.8818	11.1661	11.5678	11.6182	11.0421	11.1126	10.9783	11.137	11.207	11.3505	11.2429	11.8271	11.8161	12.6786	11.8736	10.7477	12.5039	11.369	13.2064	13.4003	12.7415	13.5704	11.9547	11.9153	11.5851	11.7457	11.8489	11.6892	12.0764	11.2176	10.9072	11.0651	11.3276	11.3898	11.1614	11.7009	10.4126	11.0648	11.7559	13.6192	11.1079	13.3099	10.9148	11.2592	11.229	13.0438
